date,open,high,low,close,volume
1998-01-20,42.8031,43.3704,42.5797,43.3532,1744600.0
1998-01-21,42.9578,43.1125,42.5109,42.8203,1839600.0
1998-01-22,42.4593,42.8289,42.3218,42.4593,1662600.0
1998-01-23,42.6312,42.7687,41.978,42.3562,1693700.0
1998-01-26,42.5625,42.7258,42.3218,42.5281,1172800.0
1998-01-27,42.4249,43.2157,42.3992,43.0266,1454500.0
1998-01-28,43.1125,43.5852,43.0266,43.5251,1181200.0
1998-01-29,43.4907,44.1439,43.3961,43.6798,1468500.0
1998-01-30,43.972,43.972,43.4392,43.5853,1095600.0
1998-02-02,44.3502,44.7284,44.2299,44.5651,955600.0
1998-02-03,44.5565,44.9261,44.3674,44.9175,619400.0
1998-02-04,44.6768,44.9175,44.4533,44.6768,753200.0
1998-02-05,45.0034,45.055,44.4104,44.6854,1067600.0
1998-02-06,44.8315,45.2011,44.7542,45.1667,1069700.0
1998-02-09,45.1581,45.2441,44.7972,44.9862,515900.0
1998-02-10,45.1237,45.8457,45.0636,45.7426,892100.0
1998-02-11,45.6394,45.8715,45.5707,45.7426,515000.0
1998-02-12,45.5105,46.2669,45.3128,46.0348,1065000.0
1998-02-13,45.8457,46.1208,45.7512,46.009,596700.0
1998-02-17,46.3787,46.6021,46.1466,46.2411,840600.0
1998-02-18,46.2497,46.5935,46.1208,46.5505,773000.0
1998-02-19,46.5591,46.5935,46.1122,46.1122,804800.0
1998-02-20,46.2497,46.4646,45.8286,46.3615,540600.0
1998-02-23,46.7568,46.7568,46.1896,46.3443,639200.0
1998-02-24,46.2755,46.4302,45.9489,46.2067,702700.0
1998-02-25,46.3443,46.8428,46.2497,46.5849,687400.0
1998-02-26,46.5419,46.8771,46.4302,46.8428,439800.0
1998-02-27,46.817,47.2811,46.6966,47.0834,451300.0
1998-03-02,47.1694,47.2296,46.9116,47.1522,1062800.0
1998-03-03,46.8772,47.3757,46.86,47.3671,596600.0
1998-03-04,47.1006,47.2381,46.817,47.049,691700.0
1998-03-05,46.4818,46.903,46.3271,46.6365,778300.0
1998-03-06,46.8084,47.3241,46.8084,47.3241,933100.0
1998-03-09,47.1006,47.6249,47.0834,47.2381,685300.0
1998-03-10,47.5132,47.7194,47.3928,47.7023,563700.0
1998-03-11,47.8226,47.9859,47.7109,47.857,406600.0
1998-03-12,47.8226,47.8914,47.4788,47.7968,576700.0
1998-03-13,47.9601,47.9945,47.3585,47.3929,458900.0
1998-03-16,47.6163,48.1149,47.496,48.1149,733000.0
1998-03-17,48.0117,48.2867,47.8999,48.2781,499900.0
1998-03-18,48.1836,48.4157,48.0117,48.3985,410900.0
1998-03-19,48.407,48.5703,48.3211,48.536,730000.0
1998-03-20,48.7165,49.1806,48.5617,49.0431,754300.0
1998-03-23,49.0603,49.0603,48.6219,48.6735,551600.0
1998-03-24,48.9399,49.4298,48.9141,49.1977,470300.0
1998-03-25,49.5416,49.5416,48.5446,48.8884,966200.0
1998-03-26,48.8712,49.1205,48.6907,48.7509,412800.0
1998-03-27,49.1462,49.1806,48.3383,48.5532,584100.0
1998-03-30,48.5618,48.7165,48.2351,48.493,562400.0
1998-03-31,48.6649,49.129,48.4414,48.5102,620000.0
1998-04-01,48.6048,49.0689,48.2524,48.9228,373700.0
1998-04-02,48.9056,49.6447,48.8626,49.5932,440600.0
1998-04-03,49.6447,49.8252,49.4041,49.5588,493300.0
1998-04-06,49.9885,50.1948,49.6963,49.7135,610500.0
1998-04-07,49.7135,49.7221,49.0946,49.447,707300.0
1998-04-08,49.5416,49.5416,48.8626,49.1118,949500.0
1998-04-09,49.3181,49.7651,49.3009,49.7135,451700.0
1998-04-13,49.9112,49.9112,49.2665,49.6963,337900.0
1998-04-14,49.7994,50.3409,49.7994,50.2979,451500.0
1998-04-15,50.4183,50.616,50.169,50.616,261800.0
1998-04-16,50.444,50.444,49.9455,50.0916,232800.0
1998-04-17,50.0982,50.659,50.012,50.6331,382900.0
1998-04-20,50.5727,50.6072,50.2449,50.4088,299400.0
1998-04-21,50.3829,50.7539,50.2276,50.7452,372000.0
1998-04-22,50.7194,50.8574,50.6245,50.7107,503400.0
1998-04-23,50.6417,50.8143,50.3053,50.4174,597700.0
1998-04-24,50.3657,50.5555,49.7273,49.9947,820200.0
1998-04-27,49.3822,49.6238,48.8042,49.2787,1916800.0
1998-04-28,49.71,49.7618,48.9508,49.132,437200.0
1998-04-29,49.2959,49.6668,49.0974,49.3735,298700.0
1998-04-30,49.8739,50.4175,49.8136,50.1759,443100.0
1998-05-01,50.2967,50.6072,50.1414,50.6072,338300.0
1998-05-04,50.7884,51.1162,50.6935,50.6935,542500.0
1998-05-05,50.521,50.7194,50.2277,50.5124,325600.0
1998-05-06,50.7108,50.7194,49.8481,49.8481,665500.0
1998-05-07,50.0378,50.0378,49.5375,49.5461,593100.0
1998-05-08,49.5547,50.2363,49.5202,50.2104,638100.0
1998-05-11,50.4002,50.7108,50.0724,50.2018,703100.0
1998-05-12,50.1931,50.7539,50.0292,50.7539,479000.0
1998-05-13,50.7453,50.9955,50.59,50.9351,399400.0
1998-05-14,50.5555,50.961,50.4347,50.6935,622900.0
1998-05-15,50.7778,50.7778,50.1819,50.1819,280900.0
1998-05-18,50.2251,50.4755,49.7415,50.0351,249200.0
1998-05-19,50.3633,50.4669,49.9488,50.0524,482100.0
1998-05-20,50.4324,50.7778,50.0956,50.726,304400.0
1998-05-21,50.8123,50.9419,50.3546,50.5015,530600.0
1998-05-22,50.6223,50.6223,50.2596,50.4237,219000.0
1998-05-26,50.7001,50.7605,49.5515,49.5515,561300.0
1998-05-27,49.1888,49.6638,48.6016,49.5515,1041100.0
1998-05-28,49.6033,49.7933,49.2924,49.7329,367700.0
1998-05-29,49.897,49.9747,49.1025,49.1025,232400.0
1998-06-01,48.9816,49.6638,48.9643,49.4134,445800.0
1998-06-02,49.5947,49.6725,49.068,49.163,391600.0
1998-06-03,49.3961,49.4134,48.5325,48.5498,473100.0
1998-06-04,48.5671,49.1629,48.3771,49.1284,636200.0
1998-06-05,49.4479,50.2164,49.1888,50.2164,1014000.0
1998-06-08,50.156,50.4324,50.0092,50.251,467900.0
1998-06-09,50.1905,50.3201,49.9401,50.1473,180100.0
1998-06-10,49.897,50.3633,49.5083,49.6033,531300.0
1998-06-11,49.7588,49.8193,48.7052,48.7052,529200.0
1998-06-12,48.7398,48.9816,48.0144,48.947,909200.0
1998-06-15,48.3943,48.6016,47.5049,47.5308,617400.0
1998-06-16,47.9798,48.0489,47.4963,47.9712,796500.0
1998-06-17,48.5152,49.2838,48.3944,48.9988,895100.0
1998-06-18,48.8779,49.0334,48.688,48.8089,219000.0
1998-06-19,48.966,49.0439,48.1092,48.2304,506100.0
1998-06-22,48.291,48.5766,48.0747,48.2824,161500.0
1998-06-23,48.5506,48.9747,48.5506,48.9487,201600.0
1998-06-24,49.0179,49.5372,48.6631,49.4593,353100.0
1998-06-25,49.7795,50.0132,49.3728,49.6757,420200.0
1998-06-26,49.6238,49.8142,49.4853,49.6757,150400.0
1998-06-29,49.9526,50.2122,49.8488,49.918,297700.0
1998-06-30,49.7968,49.9353,49.4939,49.6757,395600.0
1998-07-01,50.0564,50.2208,49.7881,50.1776,347100.0
1998-07-02,50.0392,50.169,49.9266,50.0132,263900.0
1998-07-06,50.0218,50.5411,49.866,50.5411,166500.0
1998-07-07,50.4978,50.7142,50.2469,50.4632,155700.0
1998-07-08,50.5065,50.9479,50.4632,50.9306,146900.0
1998-07-09,50.6103,50.9046,50.1084,50.3334,151500.0
1998-07-10,50.4199,50.6623,50.0391,50.5324,127800.0
1998-07-13,50.6104,50.9133,50.2902,50.394,164400.0
1998-07-14,50.6709,51.3286,50.6709,51.1988,276000.0
1998-07-15,51.5104,51.5969,51.1123,51.2334,367900.0
1998-07-16,51.1988,51.7354,51.0084,51.6575,356100.0
1998-07-17,51.7527,51.8566,51.5623,51.6921,222100.0
1998-07-20,51.8133,51.8306,51.2767,51.5796,234900.0
1998-07-21,51.8306,51.8306,50.818,50.818,389800.0
1998-07-22,50.6795,50.818,50.3074,50.6276,229900.0
1998-07-23,50.4978,50.6449,49.4074,49.4939,297000.0
1998-07-24,49.892,49.892,49.0352,49.5372,424800.0
1998-07-27,49.2776,50.0392,49.0353,49.9872,382900.0
1998-07-28,49.9007,49.9007,48.7497,49.4161,557300.0
1998-07-29,49.7449,49.8488,49.1997,49.3036,330400.0
1998-07-30,49.7795,50.0564,49.6151,49.9786,533300.0
1998-07-31,49.918,50.0565,48.8276,49.0353,234400.0
1998-08-03,49.0872,49.2516,48.6199,48.6372,429300.0
1998-08-04,49.0872,49.0872,47.0101,47.0448,947200.0
1998-08-05,47.3217,47.59,46.2659,47.4429,1456000.0
1998-08-06,47.0621,47.7631,47.0621,47.4429,571600.0
1998-08-07,47.789,48.317,47.3563,47.7198,698900.0
1998-08-10,47.6332,47.8582,47.1572,47.5121,233900.0
1998-08-11,46.664,46.9756,46.0063,46.7332,1034100.0
1998-08-12,47.2005,47.5121,46.9236,47.4601,592000.0
1998-08-13,47.2698,47.7544,46.6813,46.6813,651900.0
1998-08-14,47.4256,47.4602,46.4043,46.6986,731000.0
1998-08-17,46.5774,47.616,46.3524,47.4948,948800.0
1998-08-18,47.7544,48.5593,47.6506,48.3948,566000.0
1998-08-19,48.6891,48.6891,48.066,48.1698,324700.0
1998-08-20,47.9621,48.2563,47.7198,47.7717,536300.0
1998-08-21,47.2565,47.5168,46.1809,47.5168,1184400.0
1998-08-24,47.6382,47.9331,47.1871,47.5341,292300.0
1998-08-25,48.0025,48.2281,47.3433,47.6903,309400.0
1998-08-26,47.1004,47.6382,46.9269,47.404,653200.0
1998-08-27,46.5973,46.7535,44.8625,44.9926,1887300.0
1998-08-28,45.5217,45.86,44.4808,44.8451,1225000.0
1998-08-31,45.088,45.1921,41.5663,41.5663,1284000.0
1998-09-01,42.3123,43.9084,41.0112,43.5961,1760300.0
1998-09-02,43.6655,44.2033,43.093,43.1797,551100.0
1998-09-03,42.3817,43.093,42.0521,42.7633,806800.0
1998-09-04,43.1277,43.1797,41.6011,42.6767,578100.0
1998-09-08,43.9604,44.7758,43.492,44.7411,1187900.0
1998-09-09,44.4635,44.6716,43.5266,43.5266,879200.0
1998-09-10,42.4511,42.8674,41.6357,42.0521,1292900.0
1998-09-11,41.8439,43.7522,41.6444,43.7002,1086900.0
1998-09-14,44.0905,44.6023,43.9778,44.0818,627700.0
1998-09-15,43.6481,44.689,43.6308,44.5676,418000.0
1998-09-16,44.9319,45.3483,44.1859,45.036,495200.0
1998-09-17,43.6654,44.0818,43.5787,43.7348,681100.0
1998-09-18,43.6739,43.9866,43.4306,43.8128,309400.0
1998-09-21,42.4057,44.2298,42.3362,44.0561,562200.0
1998-09-22,44.5077,44.5077,43.6478,43.8389,431900.0
1998-09-23,44.4209,45.5153,44.1342,45.5153,680200.0
1998-09-24,45.1766,45.5066,44.0474,44.3427,568800.0
1998-09-25,43.8997,45.0115,43.726,44.5425,422200.0
1998-09-28,44.9941,45.385,44.6814,45.1852,678800.0
1998-09-29,45.2981,45.3416,44.2471,44.8552,1089600.0
1998-09-30,44.2993,44.7162,43.4307,43.4654,673200.0
1998-10-01,42.8052,43.4479,42.1103,42.3709,1107600.0
1998-10-02,42.4578,43.5349,41.7281,43.448,971800.0
1998-10-05,42.9963,43.3612,41.9366,42.9269,728800.0
1998-10-06,43.5349,43.8389,42.5968,42.9095,806100.0
1998-10-07,43.1006,43.6738,42.1711,42.9963,1280800.0
1998-10-08,41.7629,43.2222,41.3981,42.979,2218200.0
1998-10-09,43.3959,44.1255,42.562,44.0213,1196900.0
1998-10-12,44.7683,45.0115,44.195,44.3513,630700.0
1998-10-13,44.473,44.5772,43.7434,44.0126,288500.0
1998-10-14,43.9171,44.8465,43.8302,44.2993,939700.0
1998-10-15,44.1951,48.9203,44.0213,46.6272,1219200.0
1998-10-16,46.6619,46.9311,46.2797,46.8009,694800.0
1998-10-19,46.6966,47.3915,46.5924,47.0441,423800.0
1998-10-20,47.5218,48.0864,46.9659,47.1918,959800.0
1998-10-21,47.5131,47.6955,47.0441,47.2873,599800.0
1998-10-22,47.2699,47.6347,46.8095,47.5652,574800.0
1998-10-23,47.2178,47.3568,46.7661,46.8703,463400.0
1998-10-26,47.2526,47.4958,46.7661,46.9051,381100.0
1998-10-27,47.4089,47.4871,46.3579,46.5403,915900.0
1998-10-28,46.6184,46.9051,46.2363,46.3926,355200.0
1998-10-29,46.6445,47.4957,46.4013,47.4957,413600.0
1998-10-30,47.8605,48.1472,47.5739,47.8258,678700.0
1998-11-02,48.2428,48.625,47.9388,48.625,598900.0
1998-11-03,48.4686,48.7118,48.1993,48.3644,731200.0
1998-11-04,49.0245,49.3893,48.4078,49.0505,706600.0
1998-11-05,48.5294,49.7541,48.4425,49.7541,462600.0
1998-11-06,49.5891,49.9974,49.4762,49.9626,400000.0
1998-11-09,49.9453,49.9974,49.2069,49.4849,325700.0
1998-11-10,49.3373,49.7108,49.1983,49.2678,345400.0
1998-11-11,49.7195,49.7455,48.903,49.1201,365000.0
1998-11-12,48.9898,49.5978,48.9898,49.2678,354400.0
1998-11-13,49.2851,49.8931,49.1808,49.7541,408300.0
1998-11-16,50.1189,50.2927,49.6933,50.2232,273700.0
1998-11-17,50.0061,51.1439,49.4936,50.0147,618700.0
1998-11-18,49.9626,50.5706,49.8931,50.4056,249600.0
1998-11-19,50.5532,50.6575,50.2058,50.449,270800.0
1998-11-20,50.8458,51.0807,50.6718,51.072,331900.0
1998-11-23,51.4287,52.3944,51.3678,52.3944,530600.0
1998-11-24,52.2118,52.2814,51.7158,51.8377,503700.0
1998-11-25,51.9247,51.9682,51.5679,51.855,155300.0
1998-11-27,52.1769,52.1856,51.9246,51.9246,71000.0
1998-11-30,51.8115,51.8202,50.5325,50.5673,527600.0
1998-12-01,50.2541,51.1764,50.0453,50.8197,379800.0
1998-12-02,50.4107,50.663,49.8452,50.5325,317600.0
1998-12-03,50.2977,50.6631,49.3145,49.4624,638700.0
1998-12-04,49.9061,50.463,49.7669,50.3934,1230600.0
1998-12-07,50.4455,50.663,50.1149,50.5325,522900.0
1998-12-08,50.4195,50.6718,49.793,50.289,405500.0
1998-12-09,50.2106,50.4803,49.9235,50.1497,310100.0
1998-12-10,50.0453,50.1237,49.0883,49.1579,422700.0
1998-12-11,49.01,49.3406,48.5924,48.9839,548700.0
1998-12-14,48.6794,48.9839,48.1748,48.1748,393500.0
1998-12-15,48.7228,49.2101,48.1747,49.1231,637200.0
1998-12-16,49.3319,49.3319,48.7576,48.9317,537800.0
1998-12-17,49.0796,49.5581,49.0796,49.4015,1114300.0
1998-12-18,49.703,49.8512,49.3718,49.4851,289100.0
1998-12-21,49.7902,50.8622,49.7031,50.0952,483500.0
1998-12-22,50.3479,50.6268,49.8773,50.3915,317700.0
1998-12-23,50.8883,51.4896,50.5832,51.3502,657600.0
1998-12-24,51.3764,51.603,51.2108,51.3677,346900.0
1998-12-28,51.7424,51.7511,51.2107,51.2805,274000.0
1998-12-29,51.4809,52.1694,51.1846,52.1433,598800.0
1998-12-30,51.908,52.1346,51.664,51.664,202600.0
1998-12-31,51.6553,51.7948,51.0365,51.054,870300.0
1999-01-04,51.359,52.2131,50.7838,51.2892,490200.0
1999-01-05,51.2805,52.1172,51.2805,51.9951,473000.0
1999-01-06,52.5268,53.4419,52.3351,53.3547,701400.0
1999-01-07,52.5704,53.2589,52.4832,53.1282,450300.0
1999-01-08,53.6859,53.895,53.1542,53.834,446300.0
1999-01-11,53.7382,53.7992,53.1282,53.7382,603000.0
1999-01-12,53.5116,53.5813,52.7272,52.7272,539600.0
1999-01-13,51.2021,52.6401,51.2021,52.0649,1082800.0
1999-01-14,52.152,52.152,50.6007,50.6879,604100.0
1999-01-15,51.4613,52.2382,51.1383,52.2208,470100.0
1999-01-19,52.6922,52.6922,51.4089,51.9938,1505900.0
1999-01-20,52.6223,52.9366,51.8192,52.3081,687500.0
1999-01-21,51.9589,52.3954,51.4177,51.47,944500.0
1999-01-22,50.7979,51.4613,50.7018,51.0161,550700.0
1999-01-25,51.0597,51.5573,50.4836,51.5573,608400.0
1999-01-26,51.5661,52.3605,51.3042,52.3605,459600.0
1999-01-27,52.4129,52.5176,51.1209,51.2256,487100.0
1999-01-28,51.6621,52.0462,51.5225,51.6621,268200.0
1999-01-29,52.0724,52.5176,51.4264,52.116,306900.0
1999-02-01,52.5089,52.7096,52.0462,52.1509,191400.0
1999-02-02,52.1073,52.1247,51.3303,51.7668,473600.0
1999-02-03,51.5224,52.5176,51.5224,52.4478,238100.0
1999-02-04,52.247,52.5176,51.828,52.2383,442800.0
1999-02-05,52.0811,52.2295,51.6446,51.9938,438700.0
1999-02-08,52.2382,52.3866,51.4351,51.8541,335500.0
1999-02-09,51.7581,51.8716,50.8415,51.051,341700.0
1999-02-10,51.1209,51.3478,50.8241,51.1907,751900.0
1999-02-11,51.4613,52.7097,51.1209,52.5176,687700.0
1999-02-12,52.2208,52.5089,51.5748,51.9065,410400.0
1999-02-16,52.2906,52.5001,51.6795,51.793,728100.0
1999-02-17,51.6621,52.3954,51.2868,51.6447,466000.0
1999-02-18,51.8105,52.1335,51.3827,51.9763,589200.0
1999-02-19,52.0778,52.5937,51.8155,52.3401,382200.0
1999-02-22,52.2964,53.5642,52.2439,53.5467,418500.0
1999-02-23,53.3544,53.7915,52.9172,53.4768,632800.0
1999-02-24,53.5555,53.7654,52.4625,52.5325,695600.0
1999-02-25,52.2002,52.515,51.6231,52.1478,1438600.0
1999-02-26,52.445,52.4975,51.728,51.9816,356200.0
1999-03-01,52.0428,52.3576,51.6231,52.0778,336900.0
1999-03-02,52.3838,52.7248,51.8417,52.2002,242000.0
1999-03-03,52.0516,52.2352,51.4832,51.9554,201200.0
1999-03-04,52.3226,53.1445,52.2352,53.1445,584900.0
1999-03-05,53.9052,54.7534,53.8178,54.631,1525300.0
1999-03-08,54.6572,54.7184,54.1676,54.5435,298300.0
1999-03-09,54.4561,55.0332,54.1413,54.2463,848200.0
1999-03-10,54.3511,54.8058,54.1762,54.8058,180300.0
1999-03-11,55.1818,55.8026,54.8583,55.5753,758500.0
1999-03-12,55.8726,55.8813,55.1993,55.1993,411300.0
1999-03-15,55.348,55.8201,55.2605,55.8114,204000.0
1999-03-16,55.9163,56.0212,55.5491,55.6453,644400.0
1999-03-17,55.6627,55.8201,55.2255,55.3567,608100.0
