date,open,high,low,close,volume
1999-05-04,51.8301,52.6826,47.7383,47.994,22320900.0
1999-05-05,47.653,47.653,45.1809,47.1416,7565700.0
1999-05-06,46.3743,47.312,45.735,46.3317,2905700.0
1999-05-07,46.3317,51.0629,45.5219,50.5514,4862300.0
1999-05-10,50.04,50.1252,47.9088,48.2071,2589400.0
1999-05-11,47.7383,48.5481,47.3973,48.1645,1839800.0
1999-05-12,48.4203,51.0629,47.1416,50.1252,2659300.0
1999-05-13,49.9547,51.3186,49.4432,49.9121,1142900.0
1999-05-14,48.5907,49.2727,47.0989,47.8661,2058400.0
1999-05-17,47.1416,47.9088,46.3743,46.8006,2075000.0
1999-05-18,46.5448,48.0366,46.4596,46.8006,1407100.0
1999-05-19,47.312,47.6104,46.8858,47.2694,727400.0
1999-05-20,47.4399,47.8235,46.6301,46.6301,520800.0
1999-05-21,46.4596,46.9284,46.0333,46.0333,936200.0
1999-05-24,45.6924,45.8629,44.3284,44.5415,1493000.0
1999-05-25,43.7317,44.9678,43.6464,43.9874,1662400.0
1999-05-26,44.7546,45.4366,43.0071,45.053,1602900.0
1999-05-27,44.3284,46.2038,44.1153,46.2038,1220500.0
1999-05-28,46.2038,46.9284,45.6924,46.3317,901900.0
1999-06-01,45.4366,45.4366,43.3481,43.7743,953900.0
1999-06-02,43.4759,43.689,42.2825,43.1349,2204300.0
1999-06-03,43.6464,43.7743,43.0497,43.3907,852600.0
1999-06-04,43.8595,45.6923,43.8595,44.5841,1357400.0
1999-06-07,44.4563,46.2038,44.4563,44.9677,891900.0
1999-06-08,44.5841,44.7973,43.4759,43.4759,571700.0
1999-06-09,43.8169,44.6694,43.3907,44.6694,611400.0
1999-06-10,44.2432,44.2858,43.1776,43.2202,664200.0
1999-06-11,43.6038,43.8595,42.4956,43.1349,969300.0
1999-06-14,43.3055,43.6464,41.2595,41.771,821100.0
1999-06-15,42.8792,43.2202,42.453,42.7939,831700.0
1999-06-16,43.6038,44.6267,43.6038,44.4989,690300.0
1999-06-17,43.9874,45.6071,43.9874,44.3284,955700.0
1999-06-18,43.8169,44.2432,43.3054,44.2005,613900.0
1999-06-21,45.4792,47.6956,45.394,47.3973,1811000.0
1999-06-22,47.8235,47.8235,46.2038,46.3743,1165900.0
1999-06-23,45.735,45.9907,44.2431,44.3284,1351700.0
1999-06-24,45.053,45.3514,43.9874,44.371,1408900.0
1999-06-25,44.6694,45.5645,44.5841,45.1809,1111500.0
1999-06-28,45.3087,46.0333,44.8399,45.394,784600.0
1999-06-29,45.0104,46.7153,45.0104,46.2038,629800.0
1999-06-30,46.7153,49.2727,45.0956,49.2727,2127600.0
1999-07-01,48.676,48.7186,47.5678,48.2924,813600.0
1999-07-02,48.1219,48.5481,47.5251,48.3776,536900.0
1999-07-06,47.7383,48.5481,47.2268,48.0793,747600.0
1999-07-07,47.4399,47.7383,46.3743,46.3743,648800.0
1999-07-08,46.3743,46.9711,45.8202,45.8628,424400.0
1999-07-09,45.9907,46.5022,45.8628,45.8628,312700.0
1999-07-12,46.3743,47.0137,46.2891,46.6301,547700.0
1999-07-13,46.5448,46.8432,46.1186,46.2891,969600.0
1999-07-14,45.9481,46.2038,45.9055,46.1186,888200.0
1999-07-15,46.3743,46.3743,46.0333,46.3317,864700.0
1999-07-16,46.2038,46.8858,46.2038,46.4169,476700.0
1999-07-19,46.5448,48.2498,46.5448,47.3547,646100.0
1999-07-20,47.1416,48.0366,46.2891,46.4596,886100.0
1999-07-21,46.3743,46.4169,45.7776,46.2891,626100.0
1999-07-22,46.4596,46.5448,45.3514,45.3514,579500.0
1999-07-23,45.2661,45.2661,43.6464,43.689,767200.0
1999-07-26,43.8169,44.1579,43.0923,43.1349,749500.0
1999-07-27,43.8169,44.8399,43.1776,44.6694,592200.0
1999-07-28,44.4989,45.2661,43.6464,45.053,584800.0
1999-07-29,44.6694,44.6694,43.9874,44.3284,646000.0
1999-07-30,44.3284,44.3284,43.3907,43.8595,629600.0
1999-08-02,43.8169,44.03,42.5382,42.8366,566400.0
1999-08-03,42.8366,42.8366,41.43,41.4726,837700.0
1999-08-04,41.3021,41.9415,40.9185,40.9185,1281600.0
1999-08-05,40.7907,40.9185,39.4267,40.407,1539900.0
1999-08-06,40.1939,40.1939,38.1906,38.3611,1308500.0
1999-08-09,38.5316,39.2136,38.0628,38.0628,1347500.0
1999-08-10,38.4438,39.0845,37.7176,38.9564,1817400.0
1999-08-11,39.5544,42.0746,39.2553,42.0318,1369200.0
1999-08-12,41.9891,42.5017,41.3911,41.4766,832800.0
1999-08-13,42.6726,43.2279,42.4163,43.1424,557400.0
1999-08-16,43.057,43.057,41.6047,42.9716,762600.0
1999-08-17,43.2279,44.0822,42.8007,43.057,936900.0
1999-08-18,43.057,43.057,41.7329,42.5872,819300.0
1999-08-19,42.1173,42.7153,41.562,42.0746,624600.0
1999-08-20,42.2454,43.0143,42.1173,42.5872,439600.0
1999-08-23,42.9289,43.6123,42.8007,43.4842,837200.0
1999-08-24,43.4414,44.4239,42.9289,43.356,894200.0
1999-08-25,43.1425,43.954,42.5872,43.7405,449900.0
1999-08-26,43.7405,44.3385,42.8862,42.8862,378400.0
1999-08-27,43.057,43.057,42.0319,42.0746,265300.0
1999-08-30,42.2027,42.2027,40.5368,40.5368,438100.0
